DATE,RRSFS_PC1,RSALES_PC1
2012-12-01,2.52243,.
2013-01-01,2.54890,.
2013-02-01,2.13447,.
2013-03-01,1.51760,.
2013-04-01,1.94732,.
2013-05-01,2.30061,.
2013-06-01,3.16414,.
2013-07-01,3.34252,.
2013-08-01,2.25372,.
2013-09-01,1.85608,.
2013-10-01,2.46306,.
2013-11-01,1.95546,.
2013-12-01,1.92078,.
2014-01-01,0.02304,.
2014-02-01,0.66366,.
2014-03-01,1.94984,.
2014-04-01,3.09398,.
2014-05-01,2.64915,.
2014-06-01,2.69468,.
2014-07-01,2.23047,.
2014-08-01,3.53922,.
2014-09-01,3.37653,.
2014-10-01,3.28219,.
2014-11-01,3.57328,.
2014-12-01,3.01888,.
2015-01-01,4.32833,.
2015-02-01,2.45623,.
2015-03-01,2.96841,.
2015-04-01,2.07145,.
2015-05-01,2.69804,.
2015-06-01,2.46389,.
2015-07-01,2.96133,.
2015-08-01,2.12817,.
2015-09-01,2.25633,.
2015-10-01,1.62264,.
2015-11-01,1.44404,.
2015-12-01,2.17357,.
2016-01-01,1.43354,.
2016-02-01,2.89295,.
2016-03-01,1.24558,.
2016-04-01,1.44500,.
2016-05-01,1.06850,.
2016-06-01,1.78607,.
2016-07-01,1.25039,.
2016-08-01,1.10774,.
2016-09-01,1.50314,.
2016-10-01,1.92521,.
2016-11-01,1.55852,.
2016-12-01,1.61857,.
2017-01-01,3.08883,.
2017-02-01,1.66823,.
2017-03-01,2.20929,.
2017-04-01,2.52183,.
2017-05-01,2.03716,.
2017-06-01,1.78971,.
2017-07-01,1.85112,.
2017-08-01,1.79009,.
2017-09-01,3.07282,.
2017-10-01,3.22374,.
2017-11-01,3.68346,.
2017-12-01,3.64317,.
2018-01-01,2.03426,.
2018-02-01,2.86231,.
2018-03-01,2.58547,.
2018-04-01,2.29851,.
2018-05-01,3.53827,.
2018-06-01,3.17387,.
2018-07-01,3.56368,.
2018-08-01,3.59172,.
2018-09-01,1.72610,.
2018-10-01,2.07700,.
2018-11-01,1.79189,.
2018-12-01,-0.30235,.
2019-01-01,1.31786,.
2019-02-01,0.59348,.
2019-03-01,1.86645,.
2019-04-01,1.09607,.
